nombre_cancion,Artista,Popularidad,Fecha_de_lanzamiento,Genero,Subgenero,Bailabilidad,Energia,Modalidad,Habladas,Positividad,Tempo,Duracion_Sg
Never Never,SBTRKT,44,27/06/2011,r&b,neo soul,67%,60%,0,15%,56%,149,237
Come Over - Radio Edit,The Internet,32,30/05/2018,r&b,neo soul,76%,64%,1,39%,70%,92,219
Sticky,Ravyn Lenae,60,8/12/2017,r&b,neo soul,71%,85%,0,54%,57%,120,196
Your Teeth In My Neck,Kali Uchis,60,6/04/2018,r&b,neo soul,85%,60%,0,51%,86%,116,186
Wait a Minute!,WILLOW,78,11/01/2015,r&b,neo soul,76%,71%,0,28%,67%,101,196
Social Sites,Cosmo Pyke,58,24/10/2016,r&b,neo soul,41%,62%,0,47%,21%,120,289
The One,Jorja Smith,62,8/06/2018,r&b,neo soul,31%,66%,0,9%,44%,8,197
Wandering Romance,Jorja Smith,57,8/06/2018,r&b,neo soul,49%,46%,0,53%,10%,78,275
Sober,Mahalia,63,7/07/2017,r&b,neo soul,66%,70%,0,38%,61%,82,266
All Night (feat. Knox Fortune),Chance the Rapper,69,27/05/2016,r&b,neo soul,70%,78%,1,20%,39%,111,141
Am I Wrong (feat. ScHoolboy Q),Anderson .Paak,60,15/01/2016,r&b,neo soul,73%,80%,0,78%,53%,11,253
Palm Trees - Motez Remix,GoldLink,38,10/06/2016,r&b,neo soul,83%,67%,1,67%,45%,113,277
TOGETHER,KAYTRANADA,58,6/05/2016,r&b,neo soul,83%,69%,1,18%,81%,112,197
Disconnected,Thilo,28,17/05/2019,r&b,neo soul,78%,50%,1,81%,55%,93,246
Loudmouth,Cailin Russo,37,13/07/2018,r&b,neo soul,68%,71%,1,58%,70%,10,242
X2UO,Honors,21,29/06/2018,r&b,neo soul,42%,48%,0,18%,34%,84,192
Two of Us,Pat Clifton,10,30/03/2018,r&b,neo soul,76%,65%,0,37%,56%,90,181
What I'm Used To,Nick Luebke,15,26/06/2018,r&b,neo soul,65%,61%,0,3%,33%,100,159
I Wouldn't Know Any Better Than You,Gentle Bones,60,15/06/2018,r&b,neo soul,71%,49%,1,70%,28%,13,151
I Wanna,Con Brio,5,25/05/2018,r&b,neo soul,68%,75%,0,33%,48%,114,220
SADE IN THE 90s,Qveen Herby,12,20/04/2018,r&b,neo soul,80%,49%,1,54%,82%,125,220
Take You There,Eko Zu,0,28/04/2018,r&b,neo soul,57%,61%,0,4%,19%,99,206
Come Thru,Sophia Danai,24,13/04/2018,r&b,neo soul,62%,56%,1,46%,26%,103,249
The Others,RIKA,15,26/01/2018,r&b,neo soul,58%,70%,1,35%,70%,150,197
No One Else,AMiR,0,23/02/2018,r&b,neo soul,86%,68%,0,14%,60%,10,197
Fire & Brew,Kai Exos,10,12/05/2017,r&b,neo soul,63%,84%,0,33%,69%,120,207
Street Lights,Ries Brothers,29,10/11/2017,r&b,neo soul,69%,86%,0,33%,86%,117,228
Knew About Me,Homaze,7,5/12/2017,r&b,neo soul,68%,62%,0,10%,50%,122,217
Drops,Solarrio,6,14/10/2016,r&b,neo soul,62%,69%,0,10%,40%,159,238
Blueberry Cadillac,Landon Sears,36,18/03/2017,r&b,neo soul,79%,51%,1,11%,76%,128,198
Skylines,Zekl,27,6/08/2017,r&b,neo soul,67%,52%,0,39%,47%,9,234
1997,Moo Latte,29,18/04/2017,r&b,neo soul,51%,67%,1,55%,55%,84,187
I Need Your Love,Tanaë,1,13/10/2017,r&b,neo soul,62%,73%,0,38%,56%,96,220
Eagle Eye,Ava Raiin,5,14/07/2017,r&b,neo soul,54%,67%,0,65%,40%,15,222
Dang! (feat. Anderson .Paak),Mac Miller,10,28/07/2016,r&b,neo soul,84%,67%,0,23%,56%,107,305
Small Talk,Jarreau Vandal,0,29/04/2016,r&b,neo soul,73%,64%,1,24%,28%,123,301
I Can't Lose (feat. Keyone Starr) - Pomo Remix,Mark Ronson,46,3/07/2015,r&b,neo soul,76%,64%,1,43%,46%,115,217
Get Your Way (feat. Roses Gabor),Brasstracks,28,19/08/2016,r&b,neo soul,79%,73%,1,7%,58%,11,191
Superstitious - Chris McClenney Remix,MKTO,29,27/05/2016,r&b,neo soul,78%,50%,1,10%,37%,116,203
Where You Belong,Jay Prince,33,21/10/2016,r&b,neo soul,81%,59%,1,59%,48%,109,235
Just A Lover - Pomo Remix,Hayden James,28,19/08/2016,r&b,neo soul,73%,76%,1,23%,54%,113,238
Special Eyes,Xavier Omär,0,14/10/2016,r&b,neo soul,66%,54%,1,55%,46%,110,198
The One - Wantigga Remix,Triggerfinger,16,11/03/2016,r&b,neo soul,77%,73%,0,83%,63%,112,212
My Own Throne,Pat Lok,17,22/07/2016,r&b,neo soul,73%,72%,0,23%,46%,112,263
Drop Your Love (feat. Dirty Radio),Young Franco,45,14/03/2016,r&b,neo soul,66%,81%,0,44%,48%,121,207
Free Room (feat. Appleby),Ravyn Lenae,61,29/07/2016,r&b,neo soul,78%,47%,1,32%,39%,120,217
My Oh My,starRo,0,12/10/2016,r&b,neo soul,66%,50%,0,41%,25%,120,212
Love Somebody - Mr. Carmack Remix,Ta-ku,21,14/10/2016,r&b,neo soul,72%,56%,0,50%,39%,104,220
Holding On - Pomo Remix,Disclosure,27,10/08/2015,r&b,neo soul,87%,55%,0,11%,49%,123,208
Like I'm on Fire (Kartell Remix),Karma Kid,0,27/01/2014,r&b,neo soul,83%,39%,0,56%,24%,123,308
House Bump For Joe Kay,PYRMDPLAZA,0,25/04/2016,r&b,neo soul,89%,60%,0,29%,38%,125,168
Down On My Luck,Vic Mensa,46,13/02/2015,r&b,neo soul,72%,75%,0,19%,49%,125,209
Spectrum - GEOTHEORY Remix,GoldLink,30,10/06/2016,r&b,neo soul,75%,80%,0,33%,43%,115,233
I'M DEAD,Duckwrth,59,23/09/2016,r&b,neo soul,59%,75%,0,92%,49%,114,230
In My Nature (feat. Karina),Good Times Ahead,25,7/10/2016,r&b,neo soul,72%,86%,0,29%,59%,115,240
Typically Her (Kaytranada Edition),Beverlay,39,26/08/2013,r&b,neo soul,72%,57%,1,21%,43%,114,224
Foggy Windows,Zacari,45,23/07/2015,r&b,neo soul,84%,39%,0,88%,35%,114,252
Gypsy Woman,GEOTHEORY,26,18/08/2015,r&b,neo soul,73%,71%,0,72%,63%,119,198
Flight Mode - Jengi Beats Remix,Mr Sanka,21,25/08/2016,r&b,neo soul,74%,65%,0,5%,22%,118,230
De Nada,(dc),28,14/05/2015,r&b,neo soul,79%,61%,0,18%,40%,120,168
Kaleidoscope Love - Kaytranada Edition,AlunaGeorge,51,9/06/2014,r&b,neo soul,80%,47%,0,18%,32%,115,348
Dark Skin Women - Pomo Remix,GoldLink,27,10/06/2016,r&b,neo soul,76%,67%,1,58%,71%,108,226
Instinct - MXXWLL Edit,BB Diamond,24,21/08/2015,r&b,neo soul,76%,37%,0,51%,28%,114,164
Whole Lotta Lovin' - LeMarquis Remix,Mustard,30,14/03/2016,r&b,neo soul,78%,79%,0,23%,54%,120,226
Enough - Jengi Beats Remix,Wantigga,27,9/09/2016,r&b,neo soul,85%,72%,1,19%,36%,117,185
Kiss It Better - KAYTRANADA Edition,Rihanna,45,1/06/2016,r&b,neo soul,85%,50%,0,33%,34%,108,325
Bedtime Story,GoldLink,0,22/07/2014,r&b,neo soul,78%,81%,1,26%,40%,115,163
Luh You,Anderson .Paak,44,28/08/2015,r&b,neo soul,70%,72%,1,35%,66%,117,210
Love For That,Mura Masa,2,13/10/2015,r&b,neo soul,63%,52%,0,19%,36%,112,191
YOU'RE THE ONE,KAYTRANADA,66,6/05/2016,r&b,neo soul,82%,40%,1,33%,25%,118,227
Sober Thoughts - Chris McClenney Remix,GoldLink,21,28/04/2015,r&b,neo soul,78%,72%,0,45%,85%,107,180
January - Kaytranada Edition,Disclosure,34,1/01/2014,r&b,neo soul,76%,63%,0,45%,67%,119,321
Bruh,Jengi,23,11/12/2014,r&b,neo soul,82%,53%,0,61%,33%,111,242
Disappear,Christian Rich,0,21/08/2015,r&b,neo soul,84%,20%,0,27%,39%,108,232
Good Feeling - MXXWLL Remix,Jodie Abacus,29,6/05/2016,r&b,neo soul,74%,42%,0,21%,34%,109,194
BREAKDANCE LESSON N.1,KAYTRANADA,47,6/05/2016,r&b,neo soul,77%,79%,0,65%,19%,119,268
Illuminate,Good Times Ahead,26,7/10/2016,r&b,neo soul,60%,83%,1,18%,77%,104,244
Trouble - Jengi Beats Remix,OFFAIAH,34,23/09/2016,r&b,neo soul,70%,61%,0,44%,48%,116,174
Start Again (feat. Andrea Cormier),Pomo,28,14/11/2014,r&b,neo soul,59%,79%,0,33%,80%,214,246
We Want Love,Snacks,32,22/07/2016,r&b,neo soul,93%,49%,0,49%,73%,11,207
ONE TOO MANY,KAYTRANADA,51,6/05/2016,r&b,neo soul,81%,67%,1,22%,35%,109,218
Wifeable (With Sax) feat. Xavier Omär,Masego,0,27/07/2016,r&b,neo soul,97%,66%,1,78%,66%,119,176
Unique - Louis Futon Remix,GoldLink,30,10/06/2016,r&b,neo soul,64%,80%,1,30%,46%,114,254
Be Alright,Ariana Grande,70,20/05/2016,r&b,neo soul,81%,46%,0,69%,59%,108,179
Firefly,Mura Masa,5,10/04/2015,r&b,neo soul,79%,45%,1,14%,46%,109,228
We Go Back - Jarami Remix,CHINAH,40,8/01/2016,r&b,neo soul,71%,50%,1,30%,41%,106,232
Warm Water - Snakehips Remix,BANKS,57,13/08/2013,r&b,neo soul,51%,68%,0,87%,41%,212,253
Stay Lost - Cabu Remix,Joe Hertz,61,11/04/2016,r&b,neo soul,57%,50%,0,43%,55%,109,226
73 Degrees (feat. Masego),Mars Today,35,23/10/2015,r&b,neo soul,85%,67%,0,43%,58%,121,174
Your Love,Tom Misch,50,28/08/2015,r&b,neo soul,86%,46%,1,12%,26%,116,254
TRACK UNO,KAYTRANADA,52,6/05/2016,r&b,neo soul,84%,45%,1,32%,17%,119,344
Something Good (feat. Speelburg),Bondax,19,21/11/2014,r&b,neo soul,69%,92%,1,16%,78%,106,184
THE MOVE - prod. KAYTRANADA,Reva DeVito,45,22/09/2016,r&b,neo soul,83%,37%,0,48%,59%,109,194
Put My Hands On You,DEAN,0,18/09/2015,r&b,neo soul,59%,66%,1,11%,71%,105,209
Stay Close,Barney Artist,41,29/04/2016,r&b,neo soul,87%,65%,0,35%,33%,110,156
Link Up,NxWorries,0,21/10/2016,r&b,neo soul,66%,81%,1,27%,53%,100,211
Good Together - Jarami Remix,HONNE,28,14/10/2016,r&b,neo soul,75%,50%,0,20%,36%,105,230
Dapper (feat. Anderson .Paak),Domo Genesis,59,25/03/2016,r&b,neo soul,75%,59%,0,82%,56%,112,193
Late Night - ROM Remix,GoldLink,26,10/06/2016,r&b,neo soul,73%,75%,1,15%,56%,102,153
Let Me Be (feat. Bo Saris),Bondax,0,21/11/2014,r&b,neo soul,72%,59%,0,18%,76%,90,225
Weight in Gold - Louis Futon,Gallant,38,29/04/2016,r&b,neo soul,36%,70%,0,28%,34%,179,241
Good Love (feat. Jay Prince),Brasstracks,30,19/08/2016,r&b,neo soul,61%,77%,0,32%,68%,96,192
Redbone,Childish Gambino,15,2/12/2016,r&b,neo soul,75%,36%,1,11%,55%,160,326
Blood On Me,Sampha,1,31/08/2016,r&b,neo soul,77%,52%,1,15%,64%,104,246
Love$ick,Mura Masa,9,30/09/2016,r&b,neo soul,65%,78%,1,14%,77%,8,192
All I See - Pomo Remix,Bondax,36,17/10/2014,r&b,neo soul,71%,74%,0,19%,63%,115,237
Me and Your Mama,Childish Gambino,2,2/12/2016,r&b,neo soul,55%,45%,1,36%,25%,117,379
Fall in Love,GoldLink,56,26/08/2016,r&b,neo soul,63%,84%,1,36%,50%,105,184
The Sideshow (feat. Ernie Fresh),DJ Shadow,0,24/06/2016,r&b,neo soul,82%,81%,1,20%,28%,101,208
This Christmas,Donny Hathaway,75,3/04/1990,r&b,neo soul,63%,65%,1,38%,68%,9,231
Let It Snow,Boyz II Men,56,5/10/1993,r&b,neo soul,70%,41%,1,37%,54%,124,251
Silent Night,The Temptations,4,1/01/2007,r&b,neo soul,50%,33%,1,26%,38%,131,362
Happy Holiday,Faith Evans,37,1/01/2005,r&b,neo soul,30%,58%,1,47%,43%,74,319
Sleigh Ride,Tamar Braxton,42,11/11/2013,r&b,neo soul,72%,65%,1,16%,51%,89,117
Christmas Time Again,Ashanti,11,1/01/2003,r&b,neo soul,70%,38%,1,28%,32%,90,244
Deck the Halls / Silent Night,Whitney Houston,5,18/11/2003,r&b,neo soul,74%,67%,0,13%,60%,92,269
Joy To the World,Darlene McCoy,39,1/01/2012,r&b,neo soul,58%,83%,1,56%,42%,92,280
Have Yourself a Merry Little Christmas,Luther Vandross,28,28/09/2012,r&b,neo soul,42%,38%,1,29%,16%,110,304
Winter Wonderland / Don't Worry Be Happy,Pentatonix,14,17/10/2014,r&b,neo soul,53%,40%,1,52%,72%,129,207
Give Love On Christmas Day,SWV,20,28/09/2012,r&b,neo soul,57%,68%,1,28%,50%,139,229
Do You Hear What I Hear,Gladys Knight & The Pips,20,28/09/2012,r&b,neo soul,54%,38%,1,3%,19%,142,237
Merry Christmas All,The Salsoul Orchestra,1,11/11/2013,r&b,neo soul,64%,56%,1,43%,66%,118,197
Little Drummer Boy (feat. Solange),Destiny's Child,32,23/06/1905,r&b,neo soul,68%,60%,1,39%,40%,162,216
I'm Dreaming of a Black Christmas,L. Young,25,17/12/2013,r&b,neo soul,74%,66%,1,46%,64%,95,219
Merry Christmas (feat. D. Scott),Jermaine Hardsoul,28,12/12/2013,r&b,neo soul,49%,43%,1,44%,58%,61,298
Celebrate,Jean Baylor,24,22/11/2011,r&b,neo soul,70%,83%,1,18%,89%,10,174
Baby It's Cold Outside (feat. Christina Aguilera),CeeLo Green,41,29/10/2012,r&b,neo soul,43%,38%,0,34%,41%,118,243
Baby It's Cold Outside,Ella Fitzgerald,9,1/01/1996,r&b,neo soul,77%,80%,1,56%,61%,113,163
Santa Baby,Eartha Kitt,58,27/10/2012,r&b,neo soul,72%,77%,1,55%,48%,84,211
Someday At Christmas,Stevie Wonder,59,1/11/1967,r&b,neo soul,38%,39%,1,3%,21%,997,170
"Christmas Ain't Christmas, New Years Ain't New Years Without The One You Love",The O'Jays,0,1/01/1988,r&b,neo soul,53%,43%,1,39%,72%,129,136
Merry Christmas Baby - Remastered 2006,Lou Rawls,38,1/01/2006,r&b,neo soul,61%,42%,1,58%,55%,98,155
Santa Claus Is Coming To Town,The Jackson 5,28,1/01/2007,r&b,neo soul,69%,66%,1,35%,94%,14,143
What Christmas Means To Me,Stevie Wonder,15,1/01/2009,r&b,neo soul,50%,69%,1,46%,73%,82,146
Merry Christmas Baby,B.B. King,2,23/06/1905,r&b,neo soul,54%,68%,1,3%,37%,117,236
Winter Wonderland,Aretha Franklin,45,17/05/1905,r&b,neo soul,61%,36%,1,25%,57%,106,132
All I Want for Christmas Is You,Mariah Carey,90,1/11/1994,r&b,neo soul,34%,63%,1,39%,35%,150,241
Jingle Bells,Ella Fitzgerald,11,13/05/1905,r&b,neo soul,69%,70%,1,76%,88%,119,142
I Saw Mommy Kissing Santa Claus,The Jackson 5,57,1/01/2009,r&b,neo soul,58%,82%,1,55%,71%,128,182
Back Door Santa,Clarence Carter,48,21/05/1905,r&b,neo soul,68%,47%,0,31%,97%,103,129
Run Rudolph Run - Single Version,Chuck Berry,79,1/01/1986,r&b,neo soul,68%,72%,0,91%,96%,152,165
The Christmas Song,Nat King Cole,1,1/11/2013,r&b,neo soul,60%,66%,1,46%,19%,46,191
"What Christmas Means to Me - from ""The Best Man Holiday Original Motion Picture Soundtrack""",Fantasia,49,25/10/2013,r&b,neo soul,68%,76%,1,13%,33%,87,144
All Year,Terrace Martin,23,18/11/2014,r&b,neo soul,69%,39%,0,34%,42%,102,311
Rudolph The Red-Nosed Reindeer,The Temptations,7,1/01/1999,r&b,neo soul,40%,56%,1,30%,45%,94,177
My Favorite Things,The Supremes,10,1/01/1999,r&b,neo soul,22%,46%,0,31%,31%,81,167
I Want To Come Home For Christmas,Marvin Gaye,12,1/01/1999,r&b,neo soul,45%,45%,0,32%,57%,89,202
The Christmas Song,Faith Evans,26,1/01/2012,r&b,neo soul,42%,54%,1,54%,24%,127,216
Give Love On Christmas Day,Ledisi,43,1/01/2008,r&b,neo soul,52%,76%,1,16%,43%,145,234
Have Yourself A Merry Little Christmas,Ledisi,29,1/01/2008,r&b,neo soul,59%,59%,1,78%,38%,14,264
What Are You Doing New Year's Eve?,Ledisi,55,1/01/2008,r&b,neo soul,53%,33%,1,33%,23%,111,186
White Christmas (feat. Clyde McPhatter & Bill Pinckney),The Drifters,28,7/12/2004,r&b,neo soul,54%,19%,1,5%,47%,12,160
Jingle Bells,Natalie Cole,25,7/12/2004,r&b,neo soul,53%,52%,1,13%,78%,168,214
Hark! the Herald Angels Sing,Take 6,23,7/12/2004,r&b,neo soul,37%,32%,1,34%,64%,87,160
Winter Wonderland,Lou Rawls,23,12/06/2006,r&b,neo soul,64%,57%,1,7%,44%,14,157
The Christmas Song,Chaka Khan,24,1/01/2005,r&b,neo soul,44%,23%,1,36%,14%,120,242
Merry Christmas Baby,India.Arie,30,16/10/2015,r&b,neo soul,54%,52%,1,35%,33%,9,214
It's The Most Wonderful Time Of The Year,Toni Braxton,2,1/01/2009,r&b,neo soul,34%,34%,1,33%,21%,17,255
Santa Claus Is Coming to Town,The Whispers,25,1/06/1905,r&b,neo soul,58%,56%,1,42%,91%,149,238
Silent Night,Boyz II Men,45,5/10/1993,r&b,neo soul,23%,12%,1,38%,7%,117,152
Winter Wonderland,Alexander O'Neal,26,1/01/1988,r&b,neo soul,55%,29%,1,38%,58%,78,196
Christmas (Baby Please Come Home),Darlene Love,73,16/05/1905,r&b,neo soul,34%,76%,1,51%,36%,126,166
What Child Is This,Kelly Price,20,1/01/2001,r&b,neo soul,67%,53%,1,22%,59%,15,332
Sleigh Ride,TLC,45,8/11/1993,r&b,neo soul,77%,77%,0,53%,76%,96,223
Have Yourself a Merry Little Christmas,The Whispers,30,1/11/2010,r&b,neo soul,32%,42%,1,28%,13%,172,342
"Merry Christmas, Baby - Remastered",Charles Brown,46,1/01/1992,r&b,neo soul,55%,86%,1,38%,36%,110,173
Gee Whiz Its Christmas,The Holiday Soul,25,2/11/2013,r&b,neo soul,79%,34%,1,37%,69%,111,160
Have Yourself a Merry Little Christmas,Pentatonix,58,30/10/2015,r&b,neo soul,65%,42%,1,29%,76%,91,202
One Little Christmas Tree,Stevie Wonder,48,1/01/2004,r&b,neo soul,35%,35%,1,58%,71%,90,167
Santa Claus Go Straight To The Ghetto,James Brown,4,1/01/2010,r&b,neo soul,67%,61%,1,40%,81%,139,181
Frosty The Snowman,Ella Fitzgerald,32,1/01/2015,r&b,neo soul,57%,51%,1,6%,84%,76,133
Who Took The Merry Out Of Christmas - Single Version,The Staple Singers,42,1/01/2007,r&b,neo soul,60%,55%,1,61%,81%,101,149
Favorite Time Of Year,India.Arie,51,16/10/2015,r&b,neo soul,51%,70%,0,28%,31%,173,185
O Come All Ye Faithful,Kirk Franklin,38,18/06/1905,r&b,neo soul,61%,84%,0,59%,53%,97,318
Man With The Bag,Jessie J,54,8/11/2015,r&b,neo soul,64%,71%,1,91%,72%,141,161
Hey Santa Claus,The Moonglows,5,1/01/1988,r&b,neo soul,66%,43%,1,35%,67%,151,145
"Silent Night, Holy Night",Bebe & Cece Winans,33,1/01/1993,r&b,neo soul,56%,56%,0,29%,71%,152,324
Have Yourself A Merry Little Christmas - Remastered,Lou Rawls,52,1/01/2004,r&b,neo soul,47%,41%,1,38%,48%,90,221
Rudolph The Red-Nosed Reindeer - Stereo,The Supremes,1,1/01/2015,r&b,neo soul,37%,50%,1,73%,40%,121,163
Please Come Home For Christmas,Charles Brown,7,1/01/2007,r&b,neo soul,49%,30%,1,34%,42%,180,166
"Happy Holidays, Parts 1 & 2",Ohio Players,0,17/06/1905,r&b,neo soul,34%,60%,0,84%,51%,104,503
Jingle Baby,Stephanie Mills,23,1/01/1991,r&b,neo soul,64%,83%,0,29%,93%,12,248
"Rudolph, The Red-Nosed Reindeer",Mary J. Blige,51,1/01/2013,r&b,neo soul,47%,57%,1,10%,59%,140,147
That's What I Want For Christmas - Remastered 1992,Nancy Wilson,43,1/01/2006,r&b,neo soul,44%,12%,1,35%,25%,146,137
What Are You Doing New Year's Eve? - Remastered,Nancy Wilson,43,1/01/1996,r&b,neo soul,31%,19%,1,39%,40%,75,144
My Favorite Things (feat. Anita Baker),Cyrus Chestnut,35,20/06/1905,r&b,neo soul,36%,31%,1,46%,48%,82,223
Christmas Time Is Here,Six Minutes 'Til Sunrise,20,23/11/2015,r&b,neo soul,24%,39%,1,3%,96%,78,225
Merry Christmas Darlin',Six Minutes 'Til Sunrise,20,23/11/2015,r&b,neo soul,36%,50%,0,17%,36%,76,244
Soul Holidays,Sounds Of Blackness,43,1/01/2001,r&b,neo soul,60%,92%,1,71%,49%,95,360
Video,India.Arie,14,27/03/2001,r&b,neo soul,65%,60%,0,23%,68%,170,249
Future Love,Frank Mccomb,9,26/08/2000,r&b,neo soul,61%,68%,1,51%,53%,81,307
No More Rain (In This Cloud),Angie Stone,49,27/09/1999,r&b,neo soul,70%,66%,1,9%,81%,141,283
Afro Blue,Robert Glasper Experiment,52,1/01/2012,r&b,neo soul,78%,57%,1,34%,38%,97,307
Just Friends (Sunny),Musiq Soulchild,55,14/11/2000,r&b,neo soul,75%,38%,1,20%,55%,95,251
Next Lifetime,Erykah Badu,2,11/02/1997,r&b,neo soul,64%,41%,0,56%,34%,130,386
Spring Summer Feeling,Jill Scott,27,31/08/2004,r&b,neo soul,68%,33%,0,14%,31%,138,289
Fallin' in Love,Faith Evans,31,17/06/1905,r&b,neo soul,64%,67%,0,46%,82%,92,273
I'll Wait (To Fall In Love),Anthony Hamilton,37,13/12/2011,r&b,neo soul,73%,58%,1,53%,49%,134,255
Honey,Erykah Badu,25,1/01/2010,r&b,neo soul,58%,82%,0,26%,50%,175,270
Simple,India.Arie,36,1/01/2001,r&b,neo soul,76%,46%,0,16%,73%,90,206
I'm Cool - No Rap Version,Anthony Hamilton,37,17/09/2008,r&b,neo soul,75%,52%,0,99%,58%,75,217
It Never Rains (In Southern California),Tony! Toni! Toné!,11,1/01/2007,r&b,neo soul,72%,47%,1,5%,83%,79,302
Move Love,Robert Glasper Experiment,37,1/01/2012,r&b,neo soul,59%,43%,1,46%,34%,99,198
Brown Skin,India.Arie,53,1/01/2001,r&b,neo soul,70%,45%,1,64%,40%,119,296
Whatever,Jill Scott,43,31/08/2004,r&b,neo soul,67%,56%,0,27%,74%,170,266
Soul Sista,Bilal,51,1/01/2001,r&b,neo soul,71%,33%,0,12%,71%,145,318
Mary Go Round,Musiq Soulchild,38,1/01/2000,r&b,neo soul,55%,47%,1,29%,50%,141,221
Fool of Me,Meshell Ndegeocello,45,13/08/1999,r&b,neo soul,44%,24%,1,26%,17%,106,212
So Gone,Monica,67,25/06/1905,r&b,neo soul,62%,55%,1,98%,59%,81,242
Anytime,Brian McKnight,41,5/11/2002,r&b,neo soul,74%,44%,0,31%,53%,129,248
Cross My Mind,Jill Scott,42,31/08/2004,r&b,neo soul,88%,24%,0,28%,43%,146,284
Can't Explain (42nd Street Happenstance),Jill Scott,25,31/08/2004,r&b,neo soul,73%,40%,1,73%,40%,79,279
Gonna Be Alright (F.T.B.),Robert Glasper Experiment,41,1/01/2012,r&b,neo soul,47%,48%,0,16%,19%,90,370
Beyond the Stars,Jeff Bradshaw,18,14/10/2003,r&b,neo soul,40%,22%,1,45%,67%,91,324
Best Friend,Brandy,45,16/06/1905,r&b,neo soul,70%,49%,0,35%,56%,179,288
Cruisin' - Carl Mackintosh Mix,D'Angelo,2,3/07/1995,r&b,neo soul,41%,53%,0,17%,33%,7,384
For Real,Amel Larrieux,48,20/01/2004,r&b,neo soul,60%,53%,1,25%,76%,136,226
Lady,D'Angelo,62,3/07/1995,r&b,neo soul,82%,36%,0,9%,72%,84,346
Molasses,Hiatus Kaiyote,54,1/05/2015,r&b,neo soul,55%,44%,0,21%,48%,83,289
Anything (feat. Next),Jaheim,21,25/11/2008,r&b,neo soul,73%,38%,1,46%,43%,105,287
Midnight Mischief,Jordan Rakei,39,3/06/2016,r&b,neo soul,64%,44%,0,90%,44%,83,322
Don't Let Me Be Lonely Tonight,David Sanborn,26,1/01/2005,r&b,neo soul,54%,28%,0,3%,24%,94,366
Charlene,Anthony Hamilton,57,15/07/2003,r&b,neo soul,56%,35%,0,31%,45%,123,246
Visions,Musiq Soulchild,36,1/01/2003,r&b,neo soul,46%,37%,0,3%,18%,125,334
Conflict Of A Man,ERIMAJ,0,21/08/2012,r&b,neo soul,57%,68%,1,32%,37%,93,253
They Don't Know,Jon B.,60,21/04/1997,r&b,neo soul,70%,39%,1,53%,57%,125,274
Like A Star,Corinne Bailey Rae,63,1/01/2006,r&b,neo soul,61%,23%,0,35%,14%,122,243
Put Your Records On,Corinne Bailey Rae,75,1/01/2006,r&b,neo soul,74%,51%,1,36%,54%,96,215
Till It Happens To You,Corinne Bailey Rae,48,1/01/2006,r&b,neo soul,66%,23%,0,52%,71%,119,278
Send Me Out (Prod. Kingdom),Kelela,24,6/04/2015,r&b,neo soul,67%,50%,1,47%,35%,8,252
What Kind Of Man Would I Be,Mint Condition,51,1/01/1996,r&b,neo soul,65%,50%,0,31%,37%,109,264
Come Close,Common,46,1/01/2002,r&b,neo soul,71%,47%,1,21%,70%,86,275
Nothing Left to Say,Mint Condition,44,17/11/2017,r&b,neo soul,75%,56%,1,8%,64%,127,284
Matrimony: Maybe You - Remastered 2018,Maxwell,43,30/06/1998,r&b,neo soul,62%,57%,1,15%,34%,96,278
Emotional,Carl Thomas,47,18/04/2000,r&b,neo soul,55%,54%,0,41%,39%,83,271
I Wish,Carl Thomas,52,18/04/2000,r&b,neo soul,74%,67%,1,34%,22%,89,226
Summer Rain,Carl Thomas,52,18/04/2000,r&b,neo soul,67%,63%,0,65%,78%,186,232
Ponta De Areia,Esperanza Spalding,35,1/01/2008,r&b,neo soul,55%,43%,1,35%,64%,84,336
I Know You Know,Esperanza Spalding,54,1/01/2008,r&b,neo soul,58%,44%,0,70%,79%,89,225
Cuerpo Y Alma,Esperanza Spalding,32,1/01/2008,r&b,neo soul,39%,44%,1,34%,39%,165,481
Precious,Esperanza Spalding,44,1/01/2008,r&b,neo soul,51%,33%,1,57%,34%,136,263
Closer,Goapele,54,12/02/2002,r&b,neo soul,71%,44%,1,34%,37%,93,229
Soon as I Get Home,Faith Evans,57,17/06/1905,r&b,neo soul,65%,50%,1,42%,32%,120,324
You Used to Love Me,Faith Evans,58,17/06/1905,r&b,neo soul,70%,46%,1,4%,68%,89,269
Butterflies - Demo/Album Version,Floetry,45,1/01/2002,r&b,neo soul,71%,64%,1,24%,66%,89,243
Free Yourself,Fantasia,54,22/11/2004,r&b,neo soul,72%,45%,0,60%,61%,108,257
Ordinary People,John Legend,18,26/06/1905,r&b,neo soul,47%,13%,1,81%,36%,67,281
Just in Case,Jaheim,50,13/03/2001,r&b,neo soul,78%,57%,1,95%,70%,100,263
"Sweet, Sweet Spirit",Gods Property,26,19/06/1905,r&b,neo soul,59%,51%,0,39%,39%,11,294
Tell Me,Groove Theory,63,25/07/1995,r&b,neo soul,80%,36%,0,64%,89%,93,236
Keep Tryin',Groove Theory,36,25/07/1995,r&b,neo soul,63%,60%,1,96%,73%,83,260
Poetry,The RH Factor,0,1/01/2003,r&b,neo soul,76%,51%,1,14%,40%,90,348
How I Know,The RH Factor,31,1/01/2003,r&b,neo soul,67%,32%,1,43%,41%,93,296
Juicy,The RH Factor,31,1/01/2003,r&b,neo soul,61%,34%,1,49%,51%,74,394
